episode,reward,steps,key,door,goal,exploration
519,1.02,8,1,1,1,0.29
520,0.68,18,1,1,1,0.29
521,0.96,9,1,1,1,0.29
522,-0.72,50,0,0,0,0.29
523,-0.64,50,0,0,0,0.29
524,0.86,15,1,1,1,0.29
525,1.04,7,1,1,1,0.29
526,1.0,9,1,1,1,0.29
527,0.96,11,1,1,1,0.29
528,-0.76,50,0,0,0,0.29
529,0.64,24,1,1,1,0.29
530,1.0,8,1,1,1,0.29
531,0.88,12,1,1,1,0.29
532,0.96,11,1,1,1,0.29
533,1.04,7,1,1,1,0.29
534,1.04,7,1,1,1,0.29
535,0.96,9,1,1,1,0.29
536,0.88,13,1,1,1,0.29
537,0.08,39,1,1,1,0.29
538,1.04,7,1,1,1,0.29
539,1.0,8,1,1,1,0.29
540,0.96,9,1,1,1,0.29
541,1.0,8,1,1,1,0.29
542,1.04,7,1,1,1,0.29
543,-0.18,50,1,1,0,0.29
544,0.48,30,1,1,1,0.29
545,1.04,7,1,1,1,0.29
546,1.0,8,1,1,1,0.29
547,0.98,9,1,1,1,0.29
548,-0.08,50,1,1,0,0.29
549,0.32,28,1,1,1,0.29
550,1.04,7,1,1,1,0.29
551,1.0,9,1,1,1,0.28
552,0.96,11,1,1,1,0.28
553,0.26,34,1,1,1,0.28
554,0.78,20,1,1,1,0.28
555,1.04,7,1,1,1,0.28
556,0.34,30,1,1,1,0.28
557,0.26,44,1,1,1,0.28
558,-0.52,50,1,0,0,0.28
559,1.04,7,1,1,1,0.28
560,1.0,9,1,1,1,0.28
561,0.96,11,1,1,1,0.28
562,0.62,20,1,1,1,0.28
563,1.0,8,1,1,1,0.28
564,0.62,26,1,1,1,0.28
565,0.92,11,1,1,1,0.28
566,0.58,27,1,1,1,0.28
567,0.92,12,1,1,1,0.28
568,1.04,7,1,1,1,0.28
569,0.88,13,1,1,1,0.28
570,-0.72,50,0,0,0,0.28
571,0.96,10,1,1,1,0.28
572,1.0,9,1,1,1,0.28
573,1.0,8,1,1,1,0.28
574,0.82,14,1,1,1,0.28
575,1.0,8,1,1,1,0.28
576,1.0,9,1,1,1,0.28
577,1.04,7,1,1,1,0.28
578,0.7,20,1,1,1,0.28
579,1.04,7,1,1,1,0.28
580,0.9,14,1,1,1,0.28
581,0.8,17,1,1,1,0.28
582,1.0,9,1,1,1,0.28
583,0.2,47,1,1,1,0.28
584,0.16,44,1,1,1,0.28
585,1.04,7,1,1,1,0.28
586,-0.22,50,1,1,0,0.28
587,0.96,11,1,1,1,0.28
588,1.0,8,1,1,1,0.28
589,0.64,24,1,1,1,0.28
590,1.0,8,1,1,1,0.28
591,0.26,39,1,1,1,0.28
592,1.0,8,1,1,1,0.28
593,0.96,10,1,1,1,0.28
594,0.72,22,1,1,1,0.28
595,0.92,11,1,1,1,0.28
596,0.82,17,1,1,1,0.28
597,1.0,8,1,1,1,0.28
598,0.88,13,1,1,1,0.28
599,0.98,9,1,1,1,0.28
600,0.8,17,1,1,1,0.28
601,0.98,10,1,1,1,0.28
602,1.04,7,1,1,1,0.28
603,0.44,30,1,1,1,0.28
604,1.0,9,1,1,1,0.28
605,1.0,9,1,1,1,0.28
606,1.04,7,1,1,1,0.28
607,1.04,7,1,1,1,0.28
608,0.88,13,1,1,1,0.28
609,0.92,11,1,1,1,0.28
610,0.92,12,1,1,1,0.28
611,0.88,13,1,1,1,0.28
612,1.0,9,1,1,1,0.28
613,0.88,14,1,1,1,0.28
614,0.88,13,1,1,1,0.28
615,0.8,17,1,1,1,0.28
616,0.92,12,1,1,1,0.28
617,0.4,24,1,1,1,0.28
618,0.96,11,1,1,1,0.28
619,1.04,7,1,1,1,0.28
620,1.02,8,1,1,1,0.28
621,0.98,9,1,1,1,0.28
622,1.04,7,1,1,1,0.28
623,0.36,37,1,1,1,0.28
624,0.4,36,1,1,1,0.28
625,1.04,7,1,1,1,0.28
626,0.76,15,1,1,1,0.28
627,1.04,7,1,1,1,0.28
628,1.02,8,1,1,1,0.28
629,0.98,9,1,1,1,0.28
630,0.96,10,1,1,1,0.28
631,0.16,33,1,1,1,0.28
632,0.96,10,1,1,1,0.28
633,-0.22,50,1,1,0,0.28
634,0.4,36,1,1,1,0.28
635,0.88,13,1,1,1,0.28
636,0.96,9,1,1,1,0.28
637,1.0,8,1,1,1,0.28
638,0.94,11,1,1,1,0.28
639,0.92,12,1,1,1,0.28
640,0.52,22,1,1,1,0.28
641,0.72,19,1,1,1,0.28
642,0.9,14,1,1,1,0.28
643,0.96,10,1,1,1,0.28
