episode,reward,steps,key,door,goal
760,-0.36,50,1,1,0
761,-0.28,50,1,1,0
762,-0.22,50,1,1,0
763,0.06,42,1,1,1
764,-0.32,50,1,1,0
765,-0.3,50,1,1,0
766,0.44,30,1,1,1
767,-0.16,50,1,1,0
768,-0.32,50,1,1,0
769,-0.34,50,0,0,0
770,-0.28,50,1,0,0
771,0.36,30,1,1,1
772,0.36,32,1,1,1
773,-0.34,50,1,0,0
774,-0.22,50,0,0,0
775,0.54,24,1,1,1
776,-0.32,50,1,1,0
777,0.9,11,1,1,1
778,-0.36,50,1,1,0
779,-0.32,50,1,1,0
780,-0.02,46,1,1,1
781,-0.02,44,1,1,1
782,-0.32,50,1,1,0
783,0.44,29,1,1,1
784,0.48,28,1,1,1
785,0.4,32,1,1,1
786,-0.38,50,0,0,0
787,0.06,38,1,1,1
788,-0.46,50,1,1,0
789,-0.02,44,1,1,1
790,-0.32,50,1,1,0
791,-0.36,50,1,1,0
792,-0.1,48,1,1,1
793,-0.24,50,1,0,0
794,-0.28,50,1,1,0
795,-0.24,50,1,1,0
796,-0.38,50,1,0,0
797,-0.46,50,1,1,0
798,0.18,42,1,1,1
799,0.26,37,1,1,1
800,-0.36,50,1,1,0
801,-0.34,50,1,1,0
802,-0.28,50,1,1,0
803,-0.42,50,0,0,0
804,0.66,22,1,1,1
805,-0.28,50,1,1,0
806,-0.3,50,1,0,0
807,-0.24,50,1,1,0
808,-0.24,50,1,1,0
809,-0.32,50,0,0,0
810,0.6,21,1,1,1
811,-0.34,50,1,1,0
812,0.22,37,1,1,1
813,0.48,28,1,1,1
814,0.46,29,1,1,1
815,-0.34,50,1,1,0
816,-0.3,50,0,0,0
817,-0.36,50,1,0,0
818,-0.2,50,1,1,0
819,0.44,25,1,1,1
820,-0.22,50,1,1,0
821,-0.28,50,1,0,0
822,-0.24,50,1,1,0
823,-0.26,50,1,1,0
824,0.5,25,1,1,1
825,-0.16,50,1,1,0
826,0.54,23,1,1,1
827,0.64,23,1,1,1
828,-0.16,50,1,1,0
829,-0.4,50,1,1,0
830,-0.32,50,1,1,0
831,-0.4,50,1,1,0
832,-0.44,50,1,0,0
833,-0.3,50,0,0,0
834,-0.22,50,1,0,0
835,-0.34,50,1,0,0
836,0.92,12,1,1,1
837,-0.38,50,0,0,0
838,-0.3,50,1,0,0
839,-0.34,50,1,1,0
840,-0.32,50,1,1,0
841,0.06,45,1,1,1
842,0.3,39,1,1,1
843,-0.3,50,1,0,0
844,-0.38,50,1,1,0
845,-0.32,50,1,1,0
846,0.18,37,1,1,1
847,0.2,40,1,1,1
848,-0.44,50,0,0,0
849,-0.06,49,1,1,1
850,-0.24,50,1,1,0
851,-0.24,50,0,0,0
852,-0.46,50,1,1,0
853,-0.42,50,0,0,0
854,-0.44,50,1,1,0
855,0.64,22,1,1,1
856,-0.34,50,1,1,0
