episode,reward,length,key_picked,door_opened,goal_reached
920,1.0,16,True,True,True
921,1.03,15,True,True,True
922,1.0,16,True,True,True
923,0.98,18,True,True,True
924,1.03,15,True,True,True
925,1.01,17,True,True,True
926,1.03,15,True,True,True
927,1.03,15,True,True,True
928,0.97,17,True,True,True
929,1.03,15,True,True,True
930,0.97,17,True,True,True
931,1.03,15,True,True,True
932,1.03,15,True,True,True
933,1.03,15,True,True,True
934,0.98,18,True,True,True
935,1.0,16,True,True,True
936,1.01,17,True,True,True
937,1.03,15,True,True,True
938,1.03,15,True,True,True
939,1.03,15,True,True,True
940,1.03,15,True,True,True
941,1.0,16,True,True,True
942,1.03,15,True,True,True
943,1.03,15,True,True,True
944,1.0,16,True,True,True
945,1.0,16,True,True,True
946,1.03,15,True,True,True
947,1.03,15,True,True,True
948,1.03,15,True,True,True
949,1.01,17,True,True,True
950,1.03,15,True,True,True
951,0.98,18,True,True,True
952,0.99,19,True,True,True
953,0.97,17,True,True,True
954,1.03,15,True,True,True
955,1.0,16,True,True,True
956,1.03,15,True,True,True
957,1.03,15,True,True,True
958,1.03,15,True,True,True
959,1.03,15,True,True,True
960,0.9400000000000001,18,True,True,True
961,0.97,17,True,True,True
962,1.03,15,True,True,True
963,1.03,15,True,True,True
964,0.97,17,True,True,True
965,1.01,17,True,True,True
966,1.03,15,True,True,True
967,1.01,17,True,True,True
968,1.03,15,True,True,True
969,0.99,19,True,True,True
970,1.03,15,True,True,True
971,1.03,15,True,True,True
972,1.01,17,True,True,True
973,1.0,16,True,True,True
974,1.03,15,True,True,True
975,1.0,16,True,True,True
976,-0.08,100,False,False,False
977,1.03,15,True,True,True
978,1.03,15,True,True,True
979,0.95,19,True,True,True
980,0.98,18,True,True,True
981,1.03,15,True,True,True
982,1.03,15,True,True,True
983,1.01,17,True,True,True
984,1.03,15,True,True,True
985,1.01,17,True,True,True
