episode,reward,steps,key,door,goal
496,0.08,45,1,1,1
497,0.7,21,1,1,1
498,0.74,18,1,1,1
499,0.3,40,1,1,1
500,1.0,9,1,1,1
501,0.58,28,1,1,1
502,0.72,19,1,1,1
503,0.82,14,1,1,1
504,0.46,33,1,1,1
505,1.0,8,1,1,1
506,-0.12,50,1,1,0
507,0.58,27,1,1,1
508,0.68,22,1,1,1
509,0.98,9,1,1,1
510,-0.22,50,1,1,0
511,0.5,27,1,1,1
512,0.46,29,1,1,1
513,1.0,9,1,1,1
514,0.74,20,1,1,1
515,0.98,10,1,1,1
516,0.92,13,1,1,1
517,-0.18,50,1,1,0
518,0.64,19,1,1,1
519,0.64,25,1,1,1
520,0.68,18,1,1,1
521,0.86,15,1,1,1
522,0.6,23,1,1,1
523,0.9,12,1,1,1
524,0.98,9,1,1,1
525,0.74,19,1,1,1
526,0.6,23,1,1,1
527,0.52,28,1,1,1
528,0.74,19,1,1,1
529,0.98,9,1,1,1
530,0.92,11,1,1,1
531,0.76,17,1,1,1
532,0.9,11,1,1,1
533,0.86,14,1,1,1
534,0.94,11,1,1,1
535,0.96,9,1,1,1
536,0.86,14,1,1,1
537,0.34,32,1,1,1
538,0.96,10,1,1,1
539,0.92,11,1,1,1
540,0.24,37,1,1,1
541,1.04,7,1,1,1
542,-0.22,50,1,1,0
543,0.84,14,1,1,1
544,0.92,12,1,1,1
545,0.34,36,1,1,1
546,0.34,36,1,1,1
547,0.92,13,1,1,1
548,0.96,10,1,1,1
549,0.92,12,1,1,1
550,0.72,21,1,1,1
551,0.72,22,1,1,1
552,0.1,42,1,1,1
553,0.86,15,1,1,1
554,0.56,25,1,1,1
555,0.7,21,1,1,1
556,0.42,32,1,1,1
557,0.0,48,1,1,1
558,0.66,21,1,1,1
559,0.8,18,1,1,1
560,0.68,24,1,1,1
561,1.0,9,1,1,1
562,0.86,12,1,1,1
563,0.9,13,1,1,1
564,0.86,15,1,1,1
565,0.8,15,1,1,1
566,0.82,15,1,1,1
567,0.94,11,1,1,1
568,0.48,29,1,1,1
569,0.84,14,1,1,1
570,0.92,12,1,1,1
571,-0.18,50,1,1,0
572,0.74,18,1,1,1
573,0.18,39,1,1,1
574,0.32,34,1,1,1
575,0.76,16,1,1,1
576,0.8,16,1,1,1
577,0.86,14,1,1,1
578,0.88,12,1,1,1
579,0.82,16,1,1,1
580,-0.08,50,1,1,0
581,0.8,16,1,1,1
582,0.52,26,1,1,1
583,0.84,13,1,1,1
584,0.72,19,1,1,1
585,0.38,31,1,1,1
586,0.68,23,1,1,1
587,0.78,17,1,1,1
588,0.92,10,1,1,1
589,0.82,17,1,1,1
590,0.94,11,1,1,1
591,0.66,23,1,1,1
592,0.88,12,1,1,1
593,0.36,35,1,1,1
594,0.86,15,1,1,1
595,0.56,27,1,1,1
596,0.26,38,1,1,1
597,0.46,32,1,1,1
598,0.82,16,1,1,1
599,0.96,10,1,1,1
600,0.6,24,1,1,1
601,0.98,10,1,1,1
602,0.98,9,1,1,1
603,0.26,39,1,1,1
604,0.48,30,1,1,1
605,0.94,10,1,1,1
606,0.84,16,1,1,1
607,0.64,22,1,1,1
608,0.58,24,1,1,1
609,0.9,14,1,1,1
610,0.08,43,1,1,1
611,0.8,16,1,1,1
612,0.92,11,1,1,1
613,0.94,11,1,1,1
614,0.84,15,1,1,1
615,0.84,16,1,1,1
616,0.94,12,1,1,1
617,0.5,28,1,1,1
618,-0.22,50,1,1,0
619,0.42,36,1,1,1
620,-0.18,50,1,1,0
621,-0.2,50,1,1,0
622,1.04,7,1,1,1
623,0.7,22,1,1,1
624,0.8,16,1,1,1
625,0.6,25,1,1,1
626,0.84,14,1,1,1
627,0.7,18,1,1,1
628,0.98,9,1,1,1
629,0.56,27,1,1,1
630,0.78,16,1,1,1
631,0.62,25,1,1,1
632,0.78,17,1,1,1
633,0.92,11,1,1,1
634,0.86,14,1,1,1
635,-0.1,50,1,1,0
636,0.82,14,1,1,1
637,-0.2,50,1,1,0
638,1.0,8,1,1,1
639,0.36,34,1,1,1
640,-0.18,50,1,1,0
641,0.82,17,1,1,1
642,0.58,24,1,1,1
643,0.58,27,1,1,1
644,-0.18,50,1,1,0
645,1.0,8,1,1,1
646,0.72,20,1,1,1
647,0.22,41,1,1,1
648,0.74,21,1,1,1
649,0.86,13,1,1,1
650,0.8,13,1,1,1
651,0.88,12,1,1,1
